width,height,aspect_ratio,sharpness,brightness,contrast,noise,intensity_std,unique_intensity_values,filename,label
233,300,0.7767,919.9,122.87,94.73,9.64,94.73,256,024_camera_image_0011_clean.jpg,ACCEPTABLE
233,300,0.7767,917.31,121.57,94.32,9.62,94.32,256,024_camera_image_0011_mild_brightness.jpg,ACCEPTABLE
261,197,1.3249,2587.46,129.59,114.7,15.03,114.7,255,025_Motorbikes_image_0720_clean.jpg,ACCEPTABLE
261,197,1.3249,2773.55,131.05,114.54,15.47,114.54,256,025_Motorbikes_image_0720_mild_brightness.jpg,ACCEPTABLE
300,227,1.3216,2548.9,94.2,50.97,14.55,50.97,247,026_crocodile_head_image_0049_clean.jpg,ACCEPTABLE
300,227,1.3216,2666.75,96.92,52.62,14.93,52.62,250,026_crocodile_head_image_0049_mild_brightness.jpg,ACCEPTABLE
300,300,1.0,9426.05,175.27,50.57,24.21,50.57,256,027_cougar_face_image_0043_clean.jpg,ACCEPTABLE
300,300,1.0,9686.38,178.93,51.62,24.61,51.62,256,027_cougar_face_image_0043_mild_brightness.jpg,ACCEPTABLE
295,300,0.9833,9577.24,224.63,68.34,28.69,68.34,256,028_snoopy_image_0005_clean.jpg,ACCEPTABLE
295,300,0.9833,8836.4,214.88,65.58,27.54,65.58,253,028_snoopy_image_0005_mild_brightness.jpg,ACCEPTABLE
300,208,1.4423,2099.28,187.2,61.86,13.35,61.86,256,029_stapler_image_0023_clean.jpg,ACCEPTABLE
300,208,1.4423,2244.07,201.81,66.12,13.78,66.12,256,029_stapler_image_0023_mild_brightness.jpg,ACCEPTABLE
143,300,0.4767,7692.19,154.37,69.86,22.46,69.86,255,030_garfield_image_0003_clean.jpg,ACCEPTABLE
143,300,0.4767,7692.19,154.37,69.86,22.46,69.86,255,030_garfield_image_0003_mild_brightness.jpg,ACCEPTABLE
256,300,0.8533,3326.91,133.04,86.75,15.04,86.75,256,031_strawberry_image_0012_clean.jpg,ACCEPTABLE
256,300,0.8533,2943.35,123.63,80.9,14.17,80.9,244,031_strawberry_image_0012_mild_brightness.jpg,ACCEPTABLE
300,300,1.0,643.09,158.81,86.22,6.63,86.22,256,032_umbrella_image_0045_clean.jpg,ACCEPTABLE
300,300,1.0,651.66,160.09,87.11,6.68,87.11,256,032_umbrella_image_0045_mild_brightness.jpg,ACCEPTABLE
247,300,0.8233,2534.84,151.59,20.82,12.59,20.82,233,033_starfish_image_0008_clean.jpg,ACCEPTABLE
247,300,0.8233,2457.69,146.7,20.31,12.35,20.31,230,033_starfish_image_0008_mild_brightness.jpg,ACCEPTABLE
196,300,0.6533,5558.42,129.68,102.56,16.06,102.56,256,034_pagoda_image_0008_clean.jpg,ACCEPTABLE
196,300,0.6533,4664.21,116.95,92.69,14.62,92.69,237,034_pagoda_image_0008_mild_brightness.jpg,ACCEPTABLE
238,300,0.7933,3539.59,117.29,44.65,15.49,44.65,253,035_emu_image_0019_clean.jpg,ACCEPTABLE
238,300,0.7933,3441.79,114.05,43.68,15.23,43.68,250,035_emu_image_0019_mild_brightness.jpg,ACCEPTABLE
300,205,1.4634,5138.78,80.88,59.61,16.87,59.61,256,036_mayfly_image_0010_clean.jpg,ACCEPTABLE
300,205,1.4634,5341.18,82.98,61.46,17.27,61.46,256,036_mayfly_image_0010_mild_brightness.jpg,ACCEPTABLE
300,210,1.4286,13252.26,72.1,67.14,26.18,67.14,256,037_hawksbill_image_0011_clean.jpg,ACCEPTABLE
300,210,1.4286,12522.89,69.24,64.93,25.38,64.93,252,037_hawksbill_image_0011_mild_brightness.jpg,ACCEPTABLE
300,269,1.1152,1613.8,149.43,92.93,10.22,92.93,256,038_anchor_image_0007_clean.jpg,ACCEPTABLE
300,269,1.1152,1584.89,146.99,91.69,10.13,91.69,256,038_anchor_image_0007_mild_brightness.jpg,ACCEPTABLE
300,239,1.2552,11318.21,217.3,65.28,27.62,65.28,256,039_nautilus_image_0006_clean.jpg,ACCEPTABLE
300,239,1.2552,10847.87,211.23,63.71,26.98,63.71,256,039_nautilus_image_0006_mild_brightness.jpg,ACCEPTABLE
300,274,1.0949,1528.36,203.37,89.12,10.76,89.12,256,040_pigeon_image_0034_clean.jpg,ACCEPTABLE
300,274,1.0949,1441.39,196.07,86.17,10.43,86.17,252,040_pigeon_image_0034_mild_brightness.jpg,ACCEPTABLE
208,300,0.6933,1569.86,171.55,62.91,10.78,62.91,253,041_gramophone_image_0051_clean.jpg,ACCEPTABLE
208,300,0.6933,1587.79,172.75,63.58,10.86,63.58,253,041_gramophone_image_0051_mild_brightness.jpg,ACCEPTABLE
300,225,1.3333,531.76,117.71,48.69,6.81,48.69,240,042_chandelier_image_0087_clean.jpg,ACCEPTABLE
300,225,1.3333,529.34,116.58,48.45,6.8,48.45,239,042_chandelier_image_0087_mild_brightness.jpg,ACCEPTABLE
300,198,1.5152,2516.86,156.31,71.42,12.49,71.42,255,043_cougar_body_image_0042_clean.jpg,ACCEPTABLE
300,198,1.5152,2308.4,147.22,67.51,11.89,67.51,244,043_cougar_body_image_0042_mild_brightness.jpg,ACCEPTABLE
191,300,0.6367,2837.29,55.77,89.56,16.85,89.56,256,044_menorah_image_0013_clean.jpg,ACCEPTABLE
191,300,0.6367,2827.65,55.25,89.29,16.83,89.29,256,044_menorah_image_0013_mild_brightness.jpg,ACCEPTABLE
185,300,0.6167,1136.71,155.95,40.27,8.88,40.27,207,045_octopus_image_0011_clean.jpg,ACCEPTABLE
185,300,0.6167,1130.64,154.21,39.89,8.84,39.89,205,045_octopus_image_0011_mild_brightness.jpg,ACCEPTABLE
300,193,1.5544,1675.32,219.06,58.7,10.27,58.7,256,046_beaver_image_0038_clean.jpg,ACCEPTABLE
300,193,1.5544,1706.54,220.19,58.01,10.4,58.01,256,046_beaver_image_0038_mild_brightness.jpg,ACCEPTABLE
300,197,1.5228,1121.1,119.4,51.87,9.99,51.87,256,047_car_side_image_0047_clean.jpg,ACCEPTABLE
300,197,1.5228,1257.0,126.7,54.6,10.58,54.6,256,047_car_side_image_0047_mild_brightness.jpg,ACCEPTABLE
300,176,1.7045,2437.15,46.75,67.66,13.05,67.66,255,048_watch_image_0184_clean.jpg,ACCEPTABLE
300,176,1.7045,2728.87,49.75,72.16,13.84,72.16,256,048_watch_image_0184_mild_brightness.jpg,ACCEPTABLE
300,188,1.5957,4990.01,146.14,55.8,17.05,55.8,251,049_stegosaurus_image_0002_clean.jpg,ACCEPTABLE
300,188,1.5957,4267.47,132.83,50.9,15.64,50.9,230,049_stegosaurus_image_0002_mild_brightness.jpg,ACCEPTABLE
398,168,2.369,570.16,150.39,42.92,7.33,42.92,229,050_airplanes_image_0644_clean.jpg,ACCEPTABLE
398,168,2.369,611.61,159.1,42.47,7.57,42.47,228,050_airplanes_image_0644_mild_brightness.jpg,ACCEPTABLE
152,140,1.0857,8677.41,165.65,101.19,18.43,101.19,161,051_BACKGROUND_Google_image_0360_clean.jpg,ACCEPTABLE
152,140,1.0857,9037.51,166.71,100.91,18.74,100.91,161,051_BACKGROUND_Google_image_0360_mild_brightness.jpg,ACCEPTABLE
300,242,1.2397,420.06,129.94,17.63,6.19,17.63,204,052_platypus_image_0017_clean.jpg,ACCEPTABLE
300,242,1.2397,355.96,118.68,16.18,5.69,16.18,190,052_platypus_image_0017_mild_brightness.jpg,ACCEPTABLE
550,363,1.5152,1145.41,129.29,44.24,9.7,44.24,254,053_Faces_image_0245_clean.jpg,ACCEPTABLE
550,363,1.5152,1072.69,123.02,42.31,9.35,42.31,246,053_Faces_image_0245_mild_brightness.jpg,ACCEPTABLE
300,225,1.3333,780.47,62.73,59.69,8.73,59.69,255,054_wild_cat_image_0014_clean.jpg,ACCEPTABLE
300,225,1.3333,840.75,65.38,62.54,9.09,62.54,256,054_wild_cat_image_0014_mild_brightness.jpg,ACCEPTABLE
300,219,1.3699,1044.18,119.1,55.23,8.99,55.23,229,055_rhino_image_0025_clean.jpg,ACCEPTABLE
300,219,1.3699,1140.41,124.99,58.19,9.43,58.19,240,055_rhino_image_0025_mild_brightness.jpg,ACCEPTABLE
300,289,1.0381,5731.34,180.85,90.92,20.68,90.92,256,056_wheelchair_image_0004_clean.jpg,ACCEPTABLE
300,289,1.0381,5813.99,181.59,91.04,20.86,91.04,256,056_wheelchair_image_0004_mild_brightness.jpg,ACCEPTABLE
300,300,1.0,5157.87,185.22,85.81,18.28,85.81,256,057_inline_skate_image_0016_clean.jpg,ACCEPTABLE
300,300,1.0,5571.43,188.46,85.01,19.02,85.01,256,057_inline_skate_image_0016_mild_brightness.jpg,ACCEPTABLE
300,221,1.3575,6647.21,77.39,65.55,19.17,65.55,255,058_okapi_image_0004_clean.jpg,ACCEPTABLE
300,221,1.3575,5788.65,70.79,60.44,17.77,60.44,238,058_okapi_image_0004_mild_brightness.jpg,ACCEPTABLE
225,300,0.75,174.1,176.72,53.07,4.24,53.07,256,059_ewer_image_0052_clean.jpg,ACCEPTABLE
225,300,0.75,189.85,185.55,55.42,4.44,55.42,256,059_ewer_image_0052_mild_brightness.jpg,ACCEPTABLE
300,287,1.0453,1109.63,103.57,61.49,9.23,61.49,242,060_sea_horse_image_0049_clean.jpg,ACCEPTABLE
300,287,1.0453,1135.95,105.33,62.84,9.36,62.84,245,060_sea_horse_image_0049_mild_brightness.jpg,ACCEPTABLE
300,235,1.2766,14294.56,87.02,97.57,26.05,97.57,256,061_accordion_image_0041_clean.jpg,ACCEPTABLE
300,235,1.2766,14908.33,88.86,99.25,26.67,99.25,256,061_accordion_image_0041_mild_brightness.jpg,ACCEPTABLE
300,168,1.7857,2142.11,113.71,69.14,11.99,69.14,256,062_wrench_image_0019_clean.jpg,ACCEPTABLE
300,168,1.7857,2203.74,116.0,70.21,12.21,70.21,256,062_wrench_image_0019_mild_brightness.jpg,ACCEPTABLE
288,300,0.96,3374.06,161.87,112.1,16.17,112.1,256,063_grand_piano_image_0013_clean.jpg,ACCEPTABLE
288,300,0.96,3398.5,161.99,112.19,16.23,112.19,256,063_grand_piano_image_0013_mild_brightness.jpg,ACCEPTABLE
300,212,1.4151,471.18,106.12,34.76,6.65,34.76,213,064_elephant_image_0050_clean.jpg,ACCEPTABLE
300,212,1.4151,408.02,97.53,32.12,6.17,32.12,197,064_elephant_image_0050_mild_brightness.jpg,ACCEPTABLE
300,218,1.3761,1977.49,136.09,61.45,13.58,61.45,254,065_brain_image_0008_clean.jpg,ACCEPTABLE
300,218,1.3761,1840.63,129.72,58.79,13.05,58.79,244,065_brain_image_0008_mild_brightness.jpg,ACCEPTABLE
266,300,0.8867,601.59,105.93,58.47,7.47,58.47,252,066_cup_image_0054_clean.jpg,ACCEPTABLE
266,300,0.8867,610.63,106.52,59.02,7.53,59.02,252,066_cup_image_0054_mild_brightness.jpg,ACCEPTABLE
300,214,1.4019,2621.79,125.75,82.6,14.29,82.6,256,067_helicopter_image_0029_clean.jpg,ACCEPTABLE
300,214,1.4019,2852.12,133.09,85.97,14.93,85.97,255,067_helicopter_image_0029_mild_brightness.jpg,ACCEPTABLE
300,295,1.0169,3522.32,143.3,82.63,16.69,82.63,232,068_stop_sign_image_0010_clean.jpg,ACCEPTABLE
300,295,1.0169,3568.68,148.3,83.84,16.96,83.84,231,068_stop_sign_image_0010_mild_brightness.jpg,ACCEPTABLE
182,300,0.6067,2356.31,197.05,80.98,13.25,80.98,246,069_chair_image_0031_clean.jpg,ACCEPTABLE
182,300,0.6067,2330.19,194.65,80.17,13.15,80.17,247,069_chair_image_0031_mild_brightness.jpg,ACCEPTABLE
258,300,0.86,1998.0,116.52,58.8,10.07,58.8,241,070_trilobite_image_0064_clean.jpg,ACCEPTABLE
258,300,0.86,2060.72,118.96,60.07,10.25,60.07,242,070_trilobite_image_0064_mild_brightness.jpg,ACCEPTABLE
300,170,1.7647,1092.08,123.6,68.23,10.08,68.23,252,071_euphonium_image_0032_clean.jpg,ACCEPTABLE
300,170,1.7647,902.1,111.59,61.84,9.16,61.84,230,071_euphonium_image_0032_mild_brightness.jpg,ACCEPTABLE
300,289,1.0381,192.82,174.67,51.6,4.63,51.6,233,072_dragonfly_image_0026_clean.jpg,ACCEPTABLE
300,289,1.0381,190.14,171.6,50.82,4.59,50.82,234,072_dragonfly_image_0026_mild_brightness.jpg,ACCEPTABLE
300,283,1.0601,2119.98,119.86,110.98,12.32,110.98,256,073_binocular_image_0002_clean.jpg,ACCEPTABLE
300,283,1.0601,2272.68,122.67,112.1,12.9,112.1,256,073_binocular_image_0002_mild_brightness.jpg,ACCEPTABLE
300,230,1.3043,1046.83,133.83,64.6,10.1,64.6,229,074_cannon_image_0012_clean.jpg,ACCEPTABLE
300,230,1.3043,1111.07,138.99,66.69,10.41,66.69,228,074_cannon_image_0012_mild_brightness.jpg,ACCEPTABLE
300,275,1.0909,11770.09,84.46,61.73,25.69,61.73,256,075_bonsai_image_0030_clean.jpg,ACCEPTABLE
300,275,1.0909,11977.6,85.26,62.56,25.97,62.56,256,075_bonsai_image_0030_mild_brightness.jpg,ACCEPTABLE
300,163,1.8405,213.64,138.79,18.57,4.46,18.57,180,076_ceiling_fan_image_0010_clean.jpg,ACCEPTABLE
300,163,1.8405,203.75,133.87,18.02,4.34,18.02,177,076_ceiling_fan_image_0010_mild_brightness.jpg,ACCEPTABLE
300,268,1.1194,4789.37,138.98,60.47,17.26,60.47,249,077_brontosaurus_image_0043_clean.jpg,ACCEPTABLE
300,268,1.1194,4027.92,125.6,54.92,15.73,54.92,229,077_brontosaurus_image_0043_mild_brightness.jpg,ACCEPTABLE
300,272,1.1029,144.53,71.86,48.68,3.9,48.68,239,078_flamingo_head_image_0041_clean.jpg,ACCEPTABLE
300,272,1.1029,141.62,70.13,47.88,3.85,47.88,234,078_flamingo_head_image_0041_mild_brightness.jpg,ACCEPTABLE
300,159,1.8868,1537.92,92.68,37.74,10.0,37.74,248,079_dolphin_image_0012_clean.jpg,ACCEPTABLE
300,159,1.8868,1767.89,99.25,40.58,10.71,40.58,253,079_dolphin_image_0012_mild_brightness.jpg,ACCEPTABLE
300,229,1.31,311.02,121.11,30.72,5.24,30.72,188,080_llama_image_0033_clean.jpg,ACCEPTABLE
300,229,1.31,284.79,113.91,29.13,5.0,29.13,179,080_llama_image_0033_mild_brightness.jpg,ACCEPTABLE
267,300,0.89,3193.36,96.04,80.18,15.05,80.18,255,001_Faces_easy_image_0016_compressed.jpg,DEGRADED
267,300,0.89,91.39,96.17,77.87,3.79,77.87,254,001_Faces_easy_image_0016_moderate_blur.jpg,DEGRADED
267,300,0.89,6165.53,95.93,79.98,18.07,79.98,256,001_Faces_easy_image_0016_moderate_noise.jpg,DEGRADED
267,300,0.89,4373.7,120.04,93.87,16.21,93.87,255,001_Faces_easy_image_0016_overexposed.jpg,DEGRADED
267,300,0.89,1066.79,48.64,41.13,8.01,41.13,135,001_Faces_easy_image_0016_underexposed.jpg,DEGRADED
300,249,1.2048,546.59,184.95,58.71,7.58,58.71,254,002_crayfish_image_0058_compressed.jpg,DEGRADED
300,249,1.2048,58.44,185.0,57.45,3.05,57.45,233,002_crayfish_image_0058_moderate_blur.jpg,DEGRADED
300,249,1.2048,2021.23,183.67,58.78,10.95,58.78,254,002_crayfish_image_0058_moderate_noise.jpg,DEGRADED
300,249,1.2048,1074.03,224.06,54.98,9.73,54.98,250,002_crayfish_image_0058_overexposed.jpg,DEGRADED
300,249,1.2048,266.2,110.6,35.38,5.09,35.38,154,002_crayfish_image_0058_underexposed.jpg,DEGRADED
300,256,1.1719,2044.74,197.11,89.07,12.29,89.07,256,003_ant_image_0006_compressed.jpg,DEGRADED
300,256,1.1719,96.18,197.64,87.51,4.01,87.51,256,003_ant_image_0006_moderate_blur.jpg,DEGRADED
300,256,1.1719,4251.94,194.07,85.69,15.28,85.69,256,003_ant_image_0006_moderate_noise.jpg,DEGRADED
300,256,1.1719,3152.76,210.43,88.15,13.72,88.15,256,003_ant_image_0006_overexposed.jpg,DEGRADED
300,256,1.1719,685.53,96.2,43.76,6.62,43.76,131,003_ant_image_0006_underexposed.jpg,DEGRADED
199,300,0.6633,633.77,109.39,25.2,7.96,25.2,240,004_scissors_image_0015_compressed.jpg,DEGRADED
199,300,0.6633,27.16,109.42,19.83,2.26,19.83,208,004_scissors_image_0015_moderate_blur.jpg,DEGRADED
199,300,0.6633,3111.04,108.44,27.55,12.82,27.55,245,004_scissors_image_0015_moderate_noise.jpg,DEGRADED
199,300,0.6633,1060.08,137.21,32.88,9.39,32.88,226,004_scissors_image_0015_overexposed.jpg,DEGRADED
199,300,0.6633,397.69,70.84,16.86,5.89,16.86,161,004_scissors_image_0015_underexposed.jpg,DEGRADED
225,300,0.75,565.65,92.78,76.63,7.54,76.63,256,005_water_lilly_image_0008_compressed.jpg,DEGRADED
225,300,0.75,26.77,92.83,74.66,2.22,74.66,253,005_water_lilly_image_0008_moderate_blur.jpg,DEGRADED
225,300,0.75,2725.09,93.07,76.09,11.88,76.09,256,005_water_lilly_image_0008_moderate_noise.jpg,DEGRADED
225,300,0.75,1057.64,115.33,90.55,9.55,90.55,256,005_water_lilly_image_0008_overexposed.jpg,DEGRADED
225,300,0.75,271.0,57.63,48.03,4.94,48.03,164,005_water_lilly_image_0008_underexposed.jpg,DEGRADED
188,300,0.6267,1491.6,124.42,87.06,11.22,87.06,253,006_metronome_image_0005_compressed.jpg,DEGRADED
188,300,0.6267,26.0,124.23,83.64,2.28,83.64,222,006_metronome_image_0005_moderate_blur.jpg,DEGRADED
188,300,0.6267,5854.39,124.05,85.82,17.11,85.82,253,006_metronome_image_0005_moderate_noise.jpg,DEGRADED
188,300,0.6267,6063.13,153.72,100.45,18.47,100.45,256,006_metronome_image_0005_overexposed.jpg,DEGRADED
188,300,0.6267,810.59,60.53,43.07,6.91,43.07,124,006_metronome_image_0005_underexposed.jpg,DEGRADED
204,300,0.68,2761.61,206.3,58.25,15.64,58.25,248,007_windsor_chair_image_0009_compressed.jpg,DEGRADED
204,300,0.68,176.2,206.33,52.49,5.66,52.49,214,007_windsor_chair_image_0009_moderate_blur.jpg,DEGRADED
204,300,0.68,5074.17,204.92,58.75,18.46,58.75,254,007_windsor_chair_image_0009_moderate_noise.jpg,DEGRADED
204,300,0.68,5001.05,235.07,48.74,18.06,48.74,251,007_windsor_chair_image_0009_overexposed.jpg,DEGRADED
204,300,0.68,1276.43,111.98,32.11,9.63,32.11,142,007_windsor_chair_image_0009_underexposed.jpg,DEGRADED
300,195,1.5385,2521.88,89.2,34.85,13.38,34.85,252,008_crocodile_image_0017_compressed.jpg,DEGRADED
300,195,1.5385,92.73,89.16,29.79,3.78,29.79,202,008_crocodile_image_0017_moderate_blur.jpg,DEGRADED
300,195,1.5385,7982.41,88.95,37.94,19.55,37.94,250,008_crocodile_image_0017_moderate_noise.jpg,DEGRADED
300,195,1.5385,7492.77,116.96,45.54,19.97,45.54,254,008_crocodile_image_0017_overexposed.jpg,DEGRADED
300,195,1.5385,1688.48,48.57,20.08,9.33,20.08,144,008_crocodile_image_0017_underexposed.jpg,DEGRADED
300,271,1.107,1171.3,152.03,74.81,10.19,74.81,255,009_laptop_image_0027_compressed.jpg,DEGRADED
300,271,1.107,63.15,152.01,73.16,3.26,73.16,236,009_laptop_image_0027_moderate_blur.jpg,DEGRADED
300,271,1.107,3160.52,151.1,74.8,13.64,74.8,256,009_laptop_image_0027_moderate_noise.jpg,DEGRADED
300,271,1.107,2894.98,186.53,78.81,14.51,78.81,256,009_laptop_image_0027_overexposed.jpg,DEGRADED
300,271,1.107,640.41,89.21,44.28,6.89,44.28,155,009_laptop_image_0027_underexposed.jpg,DEGRADED
300,210,1.4286,11381.05,49.74,44.23,24.9,44.23,250,010_mandolin_image_0025_compressed.jpg,DEGRADED
300,210,1.4286,124.27,49.05,33.68,4.23,33.68,192,010_mandolin_image_0025_moderate_blur.jpg,DEGRADED
300,210,1.4286,15462.15,49.68,45.13,26.77,45.13,245,010_mandolin_image_0025_moderate_noise.jpg,DEGRADED
300,210,1.4286,24934.47,65.81,59.09,34.25,59.09,256,010_mandolin_image_0025_overexposed.jpg,DEGRADED
300,210,1.4286,5825.7,32.01,29.59,16.77,29.59,163,010_mandolin_image_0025_underexposed.jpg,DEGRADED
277,300,0.9233,493.63,94.25,75.18,7.1,75.18,255,011_lamp_image_0034_compressed.jpg,DEGRADED
277,300,0.9233,15.89,94.22,72.93,1.72,72.93,238,011_lamp_image_0034_moderate_blur.jpg,DEGRADED
277,300,0.9233,3693.51,94.03,75.42,13.56,75.42,256,011_lamp_image_0034_moderate_noise.jpg,DEGRADED
277,300,0.9233,1493.23,129.2,88.49,11.42,88.49,255,011_lamp_image_0034_overexposed.jpg,DEGRADED
277,300,0.9233,151.49,42.18,34.1,3.73,34.1,117,011_lamp_image_0034_underexposed.jpg,DEGRADED
291,300,0.97,115.54,195.23,52.08,3.51,52.08,221,012_soccer_ball_image_0056_compressed.jpg,DEGRADED
291,300,0.97,8.03,195.15,51.22,1.16,51.22,205,012_soccer_ball_image_0056_moderate_blur.jpg,DEGRADED
291,300,0.97,1180.16,194.64,52.51,7.41,52.51,228,012_soccer_ball_image_0056_moderate_noise.jpg,DEGRADED
291,300,0.97,214.2,235.39,43.91,4.37,43.91,196,012_soccer_ball_image_0056_overexposed.jpg,DEGRADED
291,300,0.97,66.14,122.6,32.87,2.52,32.87,138,012_soccer_ball_image_0056_underexposed.jpg,DEGRADED
205,300,0.6833,2387.01,95.27,53.03,12.71,53.03,254,013_panda_image_0030_compressed.jpg,DEGRADED
205,300,0.6833,89.15,95.23,49.8,3.75,49.8,216,013_panda_image_0030_moderate_blur.jpg,DEGRADED
205,300,0.6833,9678.05,94.76,55.37,19.91,55.37,255,013_panda_image_0030_moderate_noise.jpg,DEGRADED
205,300,0.6833,17284.92,149.26,74.2,26.64,74.2,255,013_panda_image_0030_overexposed.jpg,DEGRADED
205,300,0.6833,1868.33,46.22,26.78,8.83,26.78,128,013_panda_image_0030_underexposed.jpg,DEGRADED
